tns_name,repeater,PCA_K-means,UMAP_HDBSCAN,T-SNE_HDBSCAN
FRB20190530A,non-repeater,-1,1.0,1.0
FRB20190531C,non-repeater,1,1.0,1.0
FRB20190531E,non-repeater,-1,0.0,0.0
FRB20190601A,non-repeater,-1,-1.0,-1.0
FRB20190601B,non-repeater,1,1.0,1.0
FRB20190601D,non-repeater,-1,-1.0,-1.0
FRB20190601C,non-repeater,1,1.0,1.0
FRB20190601C,non-repeater,1,1.0,1.0
FRB20190603B,non-repeater,-1,-1.0,-1.0
FRB20190603A,repeater,1,1.0,1.0
FRB20190604D,non-repeater,-1,-1.0,-1.0
FRB20190604A,repeater,1,1.0,1.0
FRB20190604E,non-repeater,-1,-1.0,-1.0
FRB20190604F,repeater,1,1.0,1.0
FRB20190604F,repeater,1,1.0,1.0
FRB20190604F,repeater,1,1.0,1.0
FRB20190604C,non-repeater,1,-1.0,-1.0
FRB20190604G,non-repeater,1,-1.0,-1.0
FRB20190605C,non-repeater,-1,1.0,1.0
FRB20190605D,non-repeater,-1,-1.0,-1.0
FRB20190605A,repeater,1,1.0,1.0
FRB20190605B,repeater,1,1.0,1.0
FRB20190605B,repeater,1,1.0,1.0
FRB20190605B,repeater,1,1.0,1.0
FRB20190606A,repeater,-1,1.0,1.0
FRB20190606B,non-repeater,1,0.0,0.0
FRB20190607A,non-repeater,-1,-1.0,-1.0
FRB20190607B,non-repeater,1,0.0,0.0
FRB20190608A,non-repeater,-1,-1.0,-1.0
FRB20190609A,non-repeater,-1,1.0,1.0
FRB20190609A,non-repeater,1,1.0,1.0
FRB20190609B,non-repeater,-1,0.0,0.0
FRB20190609C,non-repeater,-1,1.0,1.0
FRB20190609D,non-repeater,-1,1.0,1.0
FRB20190611A,repeater,1,1.0,1.0
FRB20190611A,repeater,1,1.0,1.0
FRB20190612A,non-repeater,1,0.0,0.0
FRB20190612B,non-repeater,-1,0.0,0.0
FRB20190612C,non-repeater,-1,-1.0,-1.0
FRB20190613A,non-repeater,-1,-1.0,-1.0
FRB20190613B,non-repeater,1,-1.0,-1.0
